record_type,status,sample,state,model,outcome,term,beta,se,pvalue,n_obs,exposure_mode,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason,irr,pct_change,expected_fits,produced_fits,expected_terms,produced_terms
fit_status,ok,direct_vs_clean,IL,WLS_TWFE,fatals_per_100k,,,,,,,296239.0,296239.0,0.97552651744031,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,IL,WLS_TWFE,serious_per_100k,,,,,,,298044.0,298044.0,0.8814134825730429,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,spillover_joint,IL,PPML_raw_count,serious_inj,,,,,,,298044.0,298044.0,0.8814134825730429,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,direct_vs_clean,IL,WLS_TWFE,serious_per_100k,,,,,,,296239.0,296239.0,0.8827331985322662,night_alert,night_alert,,,,,,,
fit_status,skipped,spillover_joint,INMPO,WLS_TWFE,crashes_per_100k,,,,,,,0.0,0.0,,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,INMPO,PPML_raw_count,crashes,,,,,,,0.0,0.0,,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,direct_vs_clean,INMPO,WLS_TWFE,crashes_per_100k,,,,,,,0.0,0.0,,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,INMPO,WLS_TWFE,fatals_per_100k,,,,,,,17528.0,0.0,0.9388977635782748,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,INMPO,PPML_raw_count,fatals,,,,,,,17528.0,0.0,0.9388977635782748,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,direct_vs_clean,INMPO,WLS_TWFE,fatals_per_100k,,,,,,,17233.0,0.0,0.940172924041084,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,INMPO,WLS_TWFE,serious_per_100k,,,,,,,17528.0,0.0,0.7906777727065267,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,INMPO,PPML_raw_count,serious_inj,,,,,,,17528.0,0.0,0.7906777727065267,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,direct_vs_clean,INMPO,WLS_TWFE,serious_per_100k,,,,,,,17233.0,0.0,0.7943480531538327,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,MA,WLS_TWFE,crashes_per_100k,,,,,,,40908.0,0.0,0.08775789576610932,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,MA,PPML_raw_count,crashes,,,,,,,40908.0,0.0,0.08775789576610932,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,direct_vs_clean,MA,WLS_TWFE,crashes_per_100k,,,,,,,40231.0,0.0,0.08888667942631304,night_alert,,insufficient_estimable_sample,,,,,,
